country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Uzbekistan,UZB,1165,4,32955400,7.5179267,3.0666986,.69897002,704,Uzbekistan,140,.20900001,.088,.064000003
Holy_See,VAT,8,0,1000,3.0004342,.95424253,0,,Palestine/Gaza,138,.13,.078000002,.111
Holy_See,VAT,8,0,1000,3.0004342,.95424253,0,,Hong Kong,167,.31799999,.255,.117
Holy_See,VAT,8,0,1000,3.0004342,.95424253,0,,Somaliland,139,.44100001,.26499999,.285
Holy_See,VAT,8,0,1000,3.0004342,.95424253,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Saint_Vincent_and_the_Grenadines,VCT,12,0,110210,5.0422249,1.1139433,0,,Somaliland,139,.44100001,.26499999,.285
Saint_Vincent_and_the_Grenadines,VCT,12,0,110210,5.0422249,1.1139433,0,,Hong Kong,167,.31799999,.255,.117
Saint_Vincent_and_the_Grenadines,VCT,12,0,110210,5.0422249,1.1139433,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Saint_Vincent_and_the_Grenadines,VCT,12,0,110210,5.0422249,1.1139433,0,,Palestine/Gaza,138,.13,.078000002,.111
Venezuela,VEN,193,9,28870195,7.4604497,2.2878017,1,101,Venezuela,51,.229,.086000003,.152
British_Virgin_Islands,VGB,3,0,29802,4.4742599,.60206002,0,,Palestine/Gaza,138,.13,.078000002,.111
British_Virgin_Islands,VGB,3,0,29802,4.4742599,.60206002,0,,Hong Kong,167,.31799999,.255,.117
British_Virgin_Islands,VGB,3,0,29802,4.4742599,.60206002,0,,Somaliland,139,.44100001,.26499999,.285
British_Virgin_Islands,VGB,3,0,29802,4.4742599,.60206002,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
United_States_Virgin_Islands,VIR,51,1,106977,5.0292945,1.7160033,.30103001,,Somaliland,139,.44100001,.26499999,.285
United_States_Virgin_Islands,VIR,51,1,106977,5.0292945,1.7160033,.30103001,,Hong Kong,167,.31799999,.255,.117
United_States_Virgin_Islands,VIR,51,1,106977,5.0292945,1.7160033,.30103001,,Palestine/Gaza,138,.13,.078000002,.111
United_States_Virgin_Islands,VIR,51,1,106977,5.0292945,1.7160033,.30103001,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Vietnam,VNM,274,0,95540395,7.9801869,2.4393327,0,816,Vietnam,34,.21699999,.122,.19400001
Kosovo,XKX,387,8,1845300,6.266067,2.5888317,.95424253,347,Kosovo,43,.62400001,.41299999,.34
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969,1.447158,,Palestine/Gaza,138,.13,.078000002,.111
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969,1.447158,,Somaliland,139,.44100001,.26499999,.285
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969,1.447158,,Palestine/West Bank,128,.28299999,.20999999,.20100001
South_Africa,ZAF,2415,27,57779622,7.7617745,3.3830969,1.447158,,Hong Kong,167,.31799999,.255,.117
Zambia,ZMB,45,2,17351822,7.2393451,1.6627579,.47712126,551,Zambia,61,.37200001,.27399999,.248
Zimbabwe,ZWE,17,3,14439018,7.1595378,1.2552725,.60206002,552,Zimbabwe,62,.289,.175,.21799999
