country,ISOcode,cases,deaths,popdata2018,popdata2018_log,cases_log,deaths_log,ccode,country_name,country_id,v2x_polyarchy,v2x_libdem,v2x_partipdem
Jersey,JEY,217,4,106800,5.0285754,2.3384564,.69897002,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Jersey,JEY,217,4,106800,5.0285754,2.3384564,.69897002,,Palestine/Gaza,138,.13,.078000002,.111
Jersey,JEY,217,4,106800,5.0285754,2.3384564,.69897002,,Somaliland,139,.44100001,.26499999,.285
Jordan,JOR,397,7,9956011,6.9980855,2.5998831,.90309,663,Jordan,83,.27599999,.25400001,.14300001
Japan,JPN,8100,119,126529100,8.10219,3.9085386,2.0791812,740,Japan,9,.81999999,.736,.51999998
Kazakhstan,KAZ,1267,14,18276499,7.2618928,3.1031191,1.1760913,705,Kazakhstan,121,.23100001,.116,.078000002
Kenya,KEN,216,9,51393010,7.7109041,2.3364596,1,501,Kenya,40,.42899999,.338,.26699999
Kyrgyzstan,KGZ,449,5,6315800,6.8004284,2.6532125,.77815127,703,Kyrgyzstan,122,.389,.315,.214
Cambodia,KHM,122,0,16249798,7.2108479,2.089905,0,811,Cambodia,55,.23800001,.088,.13500001
Saint_Kitts_and_Nevis,KNA,14,0,52441,4.7196794,1.1760913,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Saint_Kitts_and_Nevis,KNA,14,0,52441,4.7196794,1.1760913,0,,Palestine/Gaza,138,.13,.078000002,.111
Saint_Kitts_and_Nevis,KNA,14,0,52441,4.7196794,1.1760913,0,,Hong Kong,167,.31799999,.255,.117
Saint_Kitts_and_Nevis,KNA,14,0,52441,4.7196794,1.1760913,0,,Somaliland,139,.44100001,.26499999,.285
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782,2.3541083,,Palestine/Gaza,138,.13,.078000002,.111
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782,2.3541083,,Palestine/West Bank,128,.28299999,.20999999,.20100001
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782,2.3541083,,Hong Kong,167,.31799999,.255,.117
South_Korea,KOR,10591,225,51635256,7.7129464,4.0249782,2.3541083,,Somaliland,139,.44100001,.26499999,.285
Kuwait,KWT,1355,3,4137309,6.6167183,3.1322596,.60206002,690,Kuwait,171,.31600001,.29499999,.124
Laos,LAO,19,0,7061507,6.8488975,1.30103,0,812,Laos,123,.122,.094999999,.104
Lebanon,LBN,641,21,6848925,6.8356223,2.8075349,1.3424227,660,Lebanon,44,.465,.28999999,.27599999
Liberia,LBR,59,6,4818977,6.6829548,1.7781513,.84509802,450,Liberia,86,.625,.426,.27000001
Libya,LBY,35,1,6678567,6.8246832,1.5563025,.30103001,620,Libya,124,.25,.156,.119
Saint_Lucia,LCA,15,0,181889,5.259809,1.20412,0,,Palestine/Gaza,138,.13,.078000002,.111
Saint_Lucia,LCA,15,0,181889,5.259809,1.20412,0,,Somaliland,139,.44100001,.26499999,.285
Saint_Lucia,LCA,15,0,181889,5.259809,1.20412,0,,Hong Kong,167,.31799999,.255,.117
Saint_Lucia,LCA,15,0,181889,5.259809,1.20412,0,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216,.90309,,Somaliland,139,.44100001,.26499999,.285
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216,.90309,,Palestine/Gaza,138,.13,.078000002,.111
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216,.90309,,Palestine/West Bank,128,.28299999,.20999999,.20100001
Sri_Lanka,LKA,233,7,21670000,7.3358588,2.369216,.90309,,Hong Kong,167,.31799999,.255,.117
Lithuania,LTU,1070,24,2789533,6.4455318,3.0297894,1.39794,368,Lithuania,173,.80299997,.73199999,.62300003
Luxembourg,LUX,3307,67,607728,5.78371,3.5195656,1.8325089,212,Luxembourg,174,.87900001,.787,.47299999
Latvia,LVA,657,5,1926542,6.2847786,2.8182259,.77815127,367,Latvia,84,.81099999,.71200001,.57099998
Morocco,MAR,1888,126,36029138,7.556654,3.276232,2.1038036,600,Morocco,90,.28999999,.25600001,.215
Moldova,MDA,1934,40,3545883,6.5497246,3.2866809,1.6127839,359,Moldova,126,.58600003,.44499999,.36000001
Madagascar,MDG,108,0,26262368,7.4193339,2.0374265,0,580,Madagascar,125,.49599999,.31299999,.25799999
Maldives,MDV,21,0,515696,5.7123947,1.3424227,0,781,Maldives,88,.49000001,.32600001,.28999999
Mexico,MEX,5399,406,126190788,8.1010275,3.7323937,2.6095943,70,Mexico,3,.70999998,.486,.414
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638,1.6532125,,Hong Kong,167,.31799999,.255,.117
North_Macedonia,MKD,908,44,2082958,6.3186808,2.9585638,1.6532125,,Palestine/Gaza,138,.13,.078000002,.111
